ad_id	page_id	story_id	producto_id	wa_destino	activo	nota
120250783606920189	604752319885731	604752319885731_1703257091504796	lucessolares		no	124 comentarios · Ad-video-1
120250713576410189	604752319885731	604752319885731_1699707728526399	lucessolares		no	124 comentarios · Ad-video-1
120251010007180189	604752319885731	604752319885731_1715467166950455	glowbrush		no	109 comentarios · AD-CREATIVE-09
120250110140170189	604752319885731	604752319885731_1678857337278105	glowbrush		no	109 comentarios · AD-CREATIVE-09
120249255828850189	604752319885731	604752319885731_1656915486138957	glowbrush		no	109 comentarios · AD-CREATIVE-09 - Copia
120251010007200189	604752319885731	604752319885731_1715467163617122	glowbrush		no	76 comentarios · MX_CEPILLO_Ad_1
120250110140190189	604752319885731	604752319885731_1678857333944772			no	⚠ sin cuerpo legible — 76 comentarios · ADCREATIVE_01
120248687627480189	604752319885731	604752319885731_1651317746698731	glowbrush		no	76 comentarios · MX_CEPILLO_Ad_1
120244687246650189	604752319885731	604752319885731_1603586664805173	glowbrush		no	69 comentarios · AD-CREATIVE-06
120244687246660189	604752319885731	604752319885731_1603586664805173	glowbrush		no	69 comentarios · AD-CREATIVE-06
120244687246670189	604752319885731	604752319885731_1603586664805173	glowbrush		no	69 comentarios · AD-CREATIVE-06
120245897525400189	604752319885731	604752319885731_1620622353101604	glowbrush		no	59 comentarios · AD-CREATIVE-09
120250783606930189	604752319885731	604752319885731_1703257088171463	lucessolares		no	50 comentarios · Ad-video-2
120250713735970189	604752319885731	604752319885731_1699707848526387	lucessolares		no	50 comentarios · Ad-video-2
120250783606940189	604752319885731	604752319885731_1703257161504789	lucessolares		no	47 comentarios · Ad-video-3
120250713735980189	604752319885731	604752319885731_1699707725193066	lucessolares		no	47 comentarios · Ad-video-3
120243506058890189	604752319885731	604752319885731_1587720256391814	glowbrush		no	32 comentarios · AD-CREATIVE-06
120243414321150756	357436254130755	357436254130755_122189691776524031			no	⚠ ninguna palabra clave en el cuerpo — 26 comentarios · ADCREATIVE_02
120243414321200756	357436254130755	357436254130755_122189691776524031			no	⚠ ninguna palabra clave en el cuerpo — 26 comentarios · ADCREATIVE_02
120243414321190756	357436254130755	357436254130755_122189691776524031			no	⚠ ninguna palabra clave en el cuerpo — 26 comentarios · ADCREATIVE_02
120238898883800756	357436254130755	357436254130755_122189691776524031			no	⚠ ninguna palabra clave en el cuerpo — 26 comentarios · ADCREATIVE_02
120242777882820189	357436254130755	357436254130755_122183015462524031	lucessolares		no	25 comentarios · VIDEO-CREATIVE-1
120242777882850189	357436254130755	357436254130755_122183307770524031	lucessolares		no	25 comentarios · VIDEO-CREATIVE-1-C2
120244138808880189	604752319885731	604752319885731_1596860202144486	glowbrush		no	23 comentarios · AD-CREATIVE-05
120243488130210189	604752319885731	604752319885731_1587720299725143	glowbrush		no	23 comentarios · AD-CREATIVE-05
120250916046890189	604752319885731	604752319885731_1711922897304882	soporte360		no	20 comentarios · Ad-video3
120250562748060189	604752319885731	604752319885731_1699404755223363	soporte360		no	20 comentarios · Ad-video3
120250992137020189	604752319885731	604752319885731_1714269550403550			no	⚠ ninguna palabra clave en el cuerpo — 18 comentarios · ADVIDEO1
120250916046850189	604752319885731	604752319885731_1711923033971535	soporte360		no	18 comentarios · Ad-video1
120250562666430189	604752319885731	604752319885731_1699404745223364	soporte360		no	18 comentarios · Ad-video1
120250916772360189	604752319885731	604752319885731_1711921397305032	filtroagua		no	15 comentarios · ADCREATIVE-01
120250916964390189	604752319885731	604752319885731_1711921417305030	filtroagua		no	15 comentarios · ADCREATIVE-02
120249910573600756	357436254130755	357436254130755_122202113462524031			no	⚠ ninguna palabra clave en el cuerpo — 15 comentarios · AD_3_TR
120246455969590756	357436254130755	357436254130755_122202113462524031			no	⚠ ninguna palabra clave en el cuerpo — 15 comentarios · AD_3_TR
120244138808830189	604752319885731	604752319885731_1587720376391802	glowbrush		no	13 comentarios · AD-CREATIVE-07
120243506058930189	604752319885731	604752319885731_1587720376391802	glowbrush		no	13 comentarios · AD-CREATIVE-07
120250239290020189	604752319885731	604752319885731_1683441866819652	glowbrush		no	12 comentarios · AD-IMAGE-X4
120248504314430189	604752319885731	604752319885731_1649603043536868	glowbrush		no	12 comentarios · MX_CEPILLO_Ad_1
120249910573610756	357436254130755	357436254130755_122203830332524031			no	⚠ ninguna palabra clave en el cuerpo — 11 comentarios · AD_11_TR
120247988863680756	357436254130755	357436254130755_122203830332524031			no	⚠ ninguna palabra clave en el cuerpo — 11 comentarios · AD_11_TR
120250916166180189	604752319885731	604752319885731_1711924737304698	vapormax		no	10 comentarios · ADCREATIVE-01
120249679598890756	357436254130755	357436254130755_122209111868524031	cojinalivia		no	10 comentarios · AD-CAMIONEROS2
120249679598900756	357436254130755	357436254130755_122209111808524031	cojinalivia		no	10 comentarios · AD-CAMIONEROS1
120249679598920756	357436254130755	357436254130755_122209111820524031	cojinalivia		no	10 comentarios · AD-CAMIONEROS
120249557793270756	357436254130755	357436254130755_122208678908524031	cojinalivia		no	10 comentarios · AD-CAMIONEROS_C2
120249557793230756	357436254130755	357436254130755_122208678782524031	cojinalivia		no	10 comentarios · AD-CAMIONEROS_06
120249557793280756	357436254130755	357436254130755_122208678788524031	cojinalivia		no	10 comentarios · AD-CAMIONEROS_C2
120249248580420756	357436254130755	357436254130755_122207284076524031	cojinalivia		no	10 comentarios · AD-CAMIONEROS
120242755762200756	357436254130755	357436254130755_122189691770524031			no	⚠ ninguna palabra clave en el cuerpo — 10 comentarios · ADCREATIVE_01
