ad_id,producto_id,comment_id,creado_en,comentario,clase,idioma,campo,accion,motivo,respuesta_que_publicaria,texto_bloqueado
"120250783606920189","lucessolares","1699707728526399_1600109378376941","2026-09-04T17:32:49+0000","Precio xfav","precio","es","","publica","","¡Hola! Te damos toda la información por WhatsApp para atenderte mejor 👉 https://wa.me/5214423621753?text=Hola%2C%20me%20interesa%20luces",""
"120250783606920189","lucessolares","1699707728526399_3587464298092711","2026-09-02T01:47:44+0000","Precio de las luces solares","precio","es","","publica","","¡Hola! Te damos toda la información por WhatsApp para atenderte mejor 👉 https://wa.me/5214423621753?text=Hola%2C%20me%20interesa%20luces",""
"120250783606920189","lucessolares","1699707728526399_1757717758481661","2026-08-25T21:19:25+0000","Dónde  puedo conseguir?","precio","es","","publica","","¡Hola! Te damos toda la información por WhatsApp para atenderte mejor 👉 https://wa.me/5214423621753?text=Hola%2C%20me%20interesa%20luces",""
"120250783606920189","lucessolares","1699707728526399_1026606516853257","2026-08-31T19:02:55+0000","Precio xfa donde se consigue","precio","es","","publica","","¡Hola! Te damos toda la información por WhatsApp para atenderte mejor 👉 https://wa.me/5214423621753?text=Hola%2C%20me%20interesa%20luces",""
"120250783606920189","lucessolares","1699707728526399_2563234454136871","2026-08-29T23:42:12+0000","Precio y dónde se ubican","precio","es","","publica","","¡Hola! Te damos toda la información por WhatsApp para atenderte mejor 👉 https://wa.me/5214423621753?text=Hola%2C%20me%20interesa%20luces",""
"120250783606920189","lucessolares","1699707728526399_1585319813336127","2026-08-24T04:44:59+0000","Dónde se venden?","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_2000694510616603","2026-08-31T18:50:41+0000","Que precio tienen ?","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1585052413155186","2026-08-23T15:46:47+0000","Precio y con quién comunicarme","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_2066452164745014","2026-08-22T17:03:51+0000","Q cuestan","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_27178728311802158","2026-08-26T18:07:05+0000","Cuánto cuestan?","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_2144658092812741","2026-09-04T04:27:33+0000","$995 paq. De 12 luces.","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_2084312952184462","2026-08-31T03:17:57+0000","Su precio","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1386949769468070","2026-08-24T23:16:55+0000","K precio tiene una","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1045095708289895","2026-08-31T05:03:39+0000","Adriana Arroyo costo","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1613961293448731","2026-08-24T14:54:03+0000","Pongan precio","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1582910766547596","2026-09-01T19:15:13+0000","Q buen cuánto cuestan y cuántas son?","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1375635738069848","2026-08-30T23:10:45+0000","Cuantas horas dura su carga","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_2124649694813356","2026-08-28T02:13:09+0000","Cuántas trae el paquete y cuál es el precio? 😀","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_38301112356169333","2026-08-29T22:40:39+0000","Cual es su tiempo de vida","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1614657946951779","2026-09-06T00:36:20+0000","dónde es y k  cuesta","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_2325795784824289","2026-09-03T02:30:21+0000","No sirven las luces let no duran tanto tiempo","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1060797420205594","2026-09-03T13:18:57+0000","Cuánto cuesta?","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_4464654537120826","2026-08-23T03:47:37+0000","Me interesa costo","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1471844234990744","2026-08-31T22:02:45+0000","Hola precio xfa","","","","descartado","aplazado_por_limite","",""
"120250783606920189","lucessolares","1699707728526399_1045775618324560","2026-09-03T02:05:41+0000","costo de las lámparas","","","","descartado","aplazado_por_limite","",""
